make_model,body_type,price,vat,km,hp,previous_owners,make,model,body_color,paint_type,gearing_type,displacement,weight,drive_chain,fuel,gears,country_version,cons_combined,cons_city,cons_country,age,upholstery_type,co2_emission,comfort,extras
Audi A1,Sedans,18380,VAT deductible,31600,92.0,1,Audi,A1,White,Metallic,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,3,Part/Full Leather,112.0,Air conditioning,Bluetooth
Audi A1,Sedans,18399,VAT deductible,45764,112.0,1,Audi,A1,Grey,Metallic,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,4.6,5.6374270508084345,4.100973465178125,3,Part/Full Leather,104.0,Air conditioning,Bluetooth
Audi A1,Sedans,17990,VAT deductible,34914,70.0,1,Audi,A1,Black,Metallic,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.2,5.0,3.7,3,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Sedans,18700,VAT deductible,27000,85.0,1,Audi,A1,Grey,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,3,Cloth,97.0,Air conditioning,Bluetooth
Audi A1,Sedans,18900,VAT deductible,9752,85.0,0,Audi,A1,Blue,Metallic,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,1,Cloth,92.0,Air conditioning,CD player
Audi A1,Sedans,18500,VAT deductible,28408,66.0,1,Audi,A1,White,Metallic,Automatic,1422.0,1220.0,front,Diesel,7.0,Belgium,3.8,4.3,3.5,2,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Compact,18400,VAT deductible,50280,70.0,1,Audi,A1,Black,Metallic,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.5,5.5,3.9,3,Cloth,103.0,Air conditioning,Bluetooth
Audi A1,Sedans,18500,VAT deductible,13406,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.8,4.6,3.3,1,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Sedans,18500,Price negotiable,51160,85.0,1,Audi,A1,White,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Italy,4.0,4.6,3.6,2,Cloth,105.0,Air conditioning,Bluetooth
Audi A1,Sedans,18500,VAT deductible,15850,92.0,1,Audi,A1,Black,Metallic,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,3,Cloth,112.0,Air conditioning,Bluetooth
Audi A1,Sedans,18900,Price negotiable,17000,92.0,1,Audi,A1,Grey,Metallic,Automatic,1395.0,1190.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,3,Cloth,112.0,Air conditioning,Bluetooth
Audi A1,Sedans,18850,VAT deductible,9077,85.0,0,Audi,A1,Black,Metallic,Automatic,1598.0,1630.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,1,Part/Full Leather,97.0,Air conditioning,Radio
Audi A1,Sedans,18500,VAT deductible,3000,70.0,1,Audi,A1,White,Metallic,Automatic,999.0,1165.0,front,Benzin,7.0,Italy,4.4,5.4,3.8,1,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Sedans,8999,VAT deductible,115000,70.0,1,Audi,A1,White,Metallic,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Cloth,97.0,Air conditioning,Radio
Audi A1,Compact,11444,VAT deductible,84029,70.0,1,Audi,A1,Blue,Metallic,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Cloth,97.0,Air conditioning,Bluetooth
Audi A1,Sedans,11300,VAT deductible,67800,70.0,1,Audi,A1,Black,Metallic,Manual,999.0,1135.0,front,Benzin,5.0,Spain,4.2,5.0,3.7,3,Cloth,97.0,Air conditioning,Radio
Audi A1,Sedans,18900,VAT deductible,14556,66.0,1,Audi,A1,White,Uni/basic,Automatic,1422.0,1135.0,front,Diesel,7.0,Germany,4.3,3.8,3.5,1,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Compact,11290,VAT deductible,22000,70.0,1,Audi,A1,Black,Metallic,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,3,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Compact,11290,VAT deductible,38400,66.0,1,Audi,A1,Black,Metallic,Manual,1422.0,1195.0,front,Diesel,5.0,Germany,3.0,3.0,3.0,3,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Sedans,11440,VAT deductible,83307,66.0,1,Audi,A1,Black,Uni/basic,Manual,1422.0,1195.0,front,Diesel,5.0,Germany,3.6,4.0,3.3,3,Cloth,95.0,Air conditioning,Bluetooth
Audi A1,Compact,11445,VAT deductible,39668,70.0,1,Audi,A1,Brown,Metallic,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,3,Cloth,104.0,Air conditioning,CD player
Audi A1,Sedans,11700,VAT deductible,30353,66.0,1,Audi,A1,Black,Metallic,Manual,1422.0,1195.0,front,Diesel,5.0,Spain,3.7,3.9,3.1,3,Cloth,97.0,Air conditioning,On-board computer
Audi A1,Sedans,11900,VAT deductible,126000,66.0,1,Audi,A1,White,Metallic,Manual,1422.0,1205.0,front,Diesel,5.0,Germany,3.7,4.2,3.4,3,Cloth,97.0,Air conditioning,Bluetooth
Audi A1,Compact,11949,VAT deductible,57500,70.0,1,Audi,A1,White,Metallic,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,3,Cloth,104.0,Air conditioning,Bluetooth
Audi A1,Sedans,11890,VAT deductible,73945,70.0,1,Audi,A1,White,Metallic,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,3,Cloth,104.0,Air conditioning,CD player
Audi A1,Sedans,11600,VAT deductible,96000,66.0,1,Audi,A1,Red,Metallic,Manual,1422.0,1195.0,front,Diesel,5.0,Germany,3.7,3.9,3.1,2,Cloth,97.0,Air conditioning,Radio
Audi A1,Sedans,11900,Price negotiable,43120,60.0,2,Audi,A1,Red,Metallic,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Cloth,97.0,Leather steering wheel,Radio
Audi A1,Compact,11630,VAT deductible,110715,66.0,1,Audi,A1,Silver,Metallic,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.9,6.170041038508629,4.26714272683179,3,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Compact,11880,VAT deductible,31971,60.0,1,Audi,A1,Black,Metallic,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,3,Cloth,102.0,Air conditioning,CD player
Audi A1,Compact,11800,VAT deductible,94800,66.0,1,Audi,A1,Grey,Metallic,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.4,3.9,3.1,3,Cloth,91.0,Air conditioning,Bluetooth
Audi A1,Compact,11850,VAT deductible,85000,66.0,1,Audi,A1,Grey,Metallic,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.4,3.9,3.1,3,Cloth,91.0,Air conditioning,Bluetooth
Audi A1,Compact,11569,VAT deductible,111265,66.0,1,Audi,A1,Black,Metallic,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.9,6.170041038508629,4.26714272683179,3,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Sedans,11490,VAT deductible,44120,66.0,1,Audi,A1,Black,Metallic,Manual,1422.0,1135.0,front,Diesel,5.0,Germany,3.6,4.1,3.3,3,Cloth,94.0,Air conditioning,Bluetooth
Audi A1,Sedans,11490,VAT deductible,97976,70.0,1,Audi,A1,Black,Metallic,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Sedans,11500,VAT deductible,106000,66.0,1,Audi,A1,Grey,Metallic,Manual,1422.0,1195.0,front,Diesel,5.0,Belgium,3.7,4.2,3.4,3,Cloth,97.0,Air conditioning,CD player
Audi A1,Sedans,11790,VAT deductible,60000,85.0,0,Audi,A1,Black,Metallic,Manual,1598.0,1250.0,front,Diesel,5.0,Spain,3.7,4.3,3.1,3,Cloth,97.0,Air conditioning,Radio
Audi A1,Compact,11490,VAT deductible,58000,60.0,2,Audi,A1,Black,Metallic,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,3,Part/Full Leather,102.0,Air conditioning,Bluetooth
Audi A1,Compact,11470,VAT deductible,57454,60.0,1,Audi,A1,Black,Metallic,Manual,999.0,1675.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,3,Cloth,104.0,Armrest,Bluetooth
Audi A1,Compact,11480,VAT deductible,94055,66.0,1,Audi,A1,White,Metallic,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.9,6.170041038508629,4.26714272683179,3,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Sedans,11180,VAT deductible,56000,70.0,1,Audi,A1,Black,Metallic,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Cloth,97.0,Light sensor,Bluetooth
Audi A1,Sedans,11450,VAT deductible,27600,70.0,1,Audi,A1,White,Metallic,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Cloth,97.0,Air conditioning,On-board computer
Audi A1,Compact,11100,VAT deductible,111670,85.0,1,Audi,A1,Black,Metallic,Manual,1598.0,1250.0,front,Diesel,5.0,Germany,3.0,4.0,3.0,3,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Compact,10900,VAT deductible,30500,66.0,1,Audi,A1,Black,Metallic,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.8,4.2,3.5,3,Cloth,99.0,Air conditioning,CD player
Audi A1,Compact,10999,VAT deductible,69500,70.0,1,Audi,A1,Black,Metallic,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,2,Cloth,102.0,Air conditioning,CD player
Audi A1,Compact,10900,VAT deductible,43500,60.0,1,Audi,A1,White,Metallic,Manual,999.0,1180.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Cloth,97.0,Air conditioning,CD player
Audi A1,Sedans,10950,VAT deductible,45696,70.0,1,Audi,A1,Black,Metallic,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.4,5.2,3.9,3,Cloth,102.0,Air conditioning,CD player
Audi A1,Sedans,10800,Price negotiable,34000,66.0,2,Audi,A1,Blue,Metallic,Manual,1422.0,1165.0,front,Diesel,5.0,Germany,3.8,4.4,3.5,3,Part/Full Leather,99.0,Air conditioning,On-board computer
Audi A1,Sedans,10600,VAT deductible,55000,70.0,1,Audi,A1,Red,Metallic,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Part/Full Leather,97.0,Air conditioning,Radio
Audi A1,Sedans,10800,VAT deductible,99000,66.0,1,Audi,A1,Black,Metallic,Manual,1422.0,1205.0,front,Diesel,5.0,Italy,3.7,4.2,3.4,3,Cloth,97.0,Air conditioning,Bluetooth
Audi A1,Compact,9950,VAT deductible,118500,70.0,1,Audi,A1,Black,Metallic,Manual,999.0,1110.0,front,Benzin,5.0,Germany,4.6,6.170041038508629,4.26714272683179,3,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Sedans,10300,VAT deductible,85000,70.0,1,Audi,A1,Red,Metallic,Manual,999.0,1135.0,front,Benzin,5.0,Germany,4.2,5.0,3.7,3,Cloth,97.0,Air conditioning,Bluetooth
Audi A1,Sedans,10000,VAT deductible,192000,85.0,1,Audi,A1,Black,Metallic,Manual,1598.0,1250.0,front,Diesel,5.0,Germany,3.9,4.7,3.4,3,Cloth,102.0,Air conditioning,MP3
Audi A1,Compact,10490,VAT deductible,130000,66.0,1,Audi,A1,White,Metallic,Manual,1422.0,1180.0,front,Diesel,5.0,Germany,3.9,4.3,3.6,3,Cloth,102.0,Air conditioning,CD player
Audi A1,Compact,18900,VAT deductible,41294,71.0,1,Audi,A1,Grey,Metallic,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.4,5.4,3.8,3,Cloth,103.0,Air conditioning,On-board computer
Audi A1,Sedans,18900,VAT deductible,64000,85.0,1,Audi,A1,White,Metallic,Automatic,1598.0,1720.0,front,Diesel,7.0,Germany,3.8,4.4,3.43,2,Part/Full Leather,99.0,Air conditioning,Bluetooth
Audi A1,Sedans,18900,VAT deductible,13135,70.0,1,Audi,A1,Grey,Metallic,Automatic,999.0,1625.0,front,Benzin,7.0,Germany,4.6,5.6374270508084345,4.100973465178125,1,Part/Full Leather,104.0,Air conditioning,Bluetooth
Audi A1,Sedans,18900,VAT deductible,4250,70.0,1,Audi,A1,Silver,Metallic,Automatic,999.0,1135.0,front,Benzin,7.0,Belgium,4.4,5.4,3.8,2,Part/Full Leather,102.0,Armrest,Bluetooth
Audi A1,Sedans,18890,VAT deductible,2949,70.0,1,Audi,A1,Silver,Metallic,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.4,5.2,3.9,1,Cloth,104.0,Air conditioning,Bluetooth
Audi A1,Sedans,18890,VAT deductible,17861,71.0,1,Audi,A1,White,Metallic,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.6,5.6374270508084345,4.100973465178125,2,Cloth,104.0,Air conditioning,Bluetooth
Audi A1,Compact,18890,VAT deductible,22800,92.0,1,Audi,A1,Black,Metallic,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,5.1,6.3,4.4,2,Part/Full Leather,117.0,Air conditioning,Bluetooth
Audi A1,Sedans,18880,VAT deductible,5108,70.0,1,Audi,A1,Black,Metallic,Automatic,999.0,1165.0,front,Benzin,7.0,Germany,4.4,5.4,3.8,2,Cloth,102.0,Air conditioning,CD player
Audi A1,Sedans,18880,VAT deductible,11335,70.0,1,Audi,A1,White,Metallic,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.4,5.4,3.8,1,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Compact,18880,VAT deductible,6396,70.0,1,Audi,A1,Red,Metallic,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.4,5.2,3.9,1,Cloth,104.0,Air conditioning,Bluetooth
Audi A1,Compact,18880,VAT deductible,47800,85.0,1,Audi,A1,Grey,Metallic,Automatic,1598.0,1180.0,front,Diesel,7.0,Germany,3.8,4.4,3.4,3,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Compact,18880,VAT deductible,7021,70.0,1,Audi,A1,Blue,Metallic,Automatic,929.0,1180.0,front,Benzin,7.0,Germany,4.4,5.4,3.8,1,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Compact,18880,VAT deductible,30952,92.0,1,Audi,A1,Black,Metallic,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,5.2,6.7,4.4,3,Part/Full Leather,123.0,Air conditioning,Bluetooth
Audi A1,Sedans,18880,VAT deductible,33991,92.0,1,Audi,A1,White,Metallic,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,5.2,6.7,4.4,3,Part/Full Leather,104.0,Air conditioning,Bluetooth
Audi A1,Sedans,18870,VAT deductible,35800,66.0,1,Audi,A1,White,Metallic,Automatic,1422.0,1135.0,front,Diesel,7.0,Germany,3.8,4.3,3.5,2,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Sedans,18850,VAT deductible,7672,85.0,1,Audi,A1,Silver,Metallic,Automatic,1598.0,1630.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,1,Part/Full Leather,97.0,Air conditioning,Radio
Audi A1,Sedans,18500,VAT deductible,13406,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.8,4.6,3.3,1,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Compact,18870,VAT deductible,8430,70.0,1,Audi,A1,Blue,Metallic,Automatic,999.0,1180.0,front,Benzin,7.0,Germany,4.6,5.6,4.0,1,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Compact,18497,VAT deductible,40488,85.0,1,Audi,A1,Red,Metallic,Automatic,1598.0,1250.0,front,Diesel,5.0,Germany,4.0,4.8,3.5,3,Cloth,106.0,Air conditioning,Bluetooth
Audi A1,Compact,18490,VAT deductible,24200,66.0,2,Audi,A1,Grey,Metallic,Automatic,1422.0,1195.0,front,Diesel,7.0,Germany,4.1,4.6,3.8,2,Cloth,108.0,Air conditioning,Bluetooth
Audi A1,Compact,18490,VAT deductible,26500,66.0,1,Audi,A1,Brown,Metallic,Automatic,1422.0,1180.0,front,Diesel,7.0,Germany,4.0,4.4,3.7,2,Cloth,104.0,Air conditioning,Bluetooth
Audi A1,Compact,18490,VAT deductible,58806,71.0,1,Audi,A1,Black,Metallic,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.4,5.4,3.8,3,Cloth,103.0,Air conditioning,On-board computer
Audi A1,Sedans,18500,Price negotiable,39000,85.0,1,Audi,A1,White,Metallic,Automatic,1598.0,1250.0,front,Diesel,7.0,Germany,3.8,4.4,3.4,3,Cloth,99.0,Electrical side mirrors,Bluetooth
Audi A1,Sedans,18490,VAT deductible,16700,92.0,1,Audi,A1,Red,Metallic,Automatic,1395.0,1215.0,front,Benzin,7.0,Germany,5.1,6.3,4.4,2,Cloth,117.0,Air conditioning,Bluetooth
Audi A1,Sedans,18490,VAT deductible,41900,92.0,1,Audi,A1,White,Metallic,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,5.1,6.6,4.3,3,Part/Full Leather,121.0,Air conditioning,Bluetooth
Audi A1,Compact,18480,VAT deductible,15093,92.0,1,Audi,A1,Black,Metallic,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,3,Cloth,112.0,Air conditioning,Bluetooth
Audi A1,Sedans,18480,VAT deductible,5211,66.0,1,Audi,A1,Red,Metallic,Automatic,1422.0,1135.0,front,Diesel,7.0,Germany,4.0,4.5,3.7,1,Cloth,104.0,Air conditioning,Bluetooth
Audi A1,Compact,18470,VAT deductible,12000,70.0,2,Audi,A1,White,Metallic,Automatic,999.0,1180.0,front,Benzin,7.0,Germany,4.6,5.6,4.0,1,Cloth,107.0,Air conditioning,Bluetooth
Audi A1,Compact,18444,VAT deductible,50066,92.0,1,Audi,A1,Grey,Metallic,Automatic,1395.0,1180.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,3,Cloth,112.0,Air conditioning,CD player
Audi A1,Compact,18400,VAT deductible,51484,71.0,1,Audi,A1,Red,Metallic,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.4,5.4,3.8,2,Cloth,103.0,Air conditioning,On-board computer
Audi A1,Sedans,18400,VAT deductible,14770,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1135.0,front,Diesel,7.0,Germany,3.8,4.6,3.3,1,Cloth,99.0,Air conditioning,Bluetooth
Audi A1,Sedans,18900,VAT deductible,12415,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,1,Cloth,105.0,Armrest,Bluetooth
Audi A1,Sedans,18900,VAT deductible,26064,85.0,1,Audi,A1,Silver,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,1,Cloth,105.0,Air conditioning,Bluetooth
Audi A1,Sedans,18900,VAT deductible,16500,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Italy,4.0,4.6,3.6,1,Cloth,105.0,Air conditioning,Bluetooth
Audi A1,Sedans,18900,Price negotiable,9000,92.0,1,Audi,A1,Black,Metallic,Automatic,1395.0,1215.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,3,Part/Full Leather,112.0,Leather steering wheel,Radio
Audi A1,Sedans,18900,VAT deductible,12402,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,1,Part/Full Leather,105.0,Armrest,Bluetooth
Audi A1,Sedans,18900,VAT deductible,14702,85.0,1,Audi,A1,White,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,1,Part/Full Leather,105.0,Armrest,Bluetooth
Audi A1,Sedans,18900,VAT deductible,14523,85.0,1,Audi,A1,White,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,1,Cloth,105.0,Air conditioning,CD player
Audi A1,Sedans,18900,VAT deductible,9082,85.0,0,Audi,A1,Black,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,1,Cloth,105.0,Armrest,Bluetooth
Audi A1,Sedans,18900,VAT deductible,9580,85.0,0,Audi,A1,Blue,Metallic,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,1,Cloth,92.0,Air conditioning,CD player
Audi A1,Sedans,18900,VAT deductible,10013,85.0,1,Audi,A1,Blue,Metallic,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,1,Cloth,92.0,Air conditioning,CD player
Audi A1,Sedans,18900,VAT deductible,10450,85.0,1,Audi,A1,Grey,Metallic,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,1,Cloth,92.0,Air conditioning,CD player
Audi A1,Sedans,18900,VAT deductible,14878,85.0,1,Audi,A1,Silver,Metallic,Automatic,1598.0,1275.0,front,Diesel,7.0,Germany,4.0,4.6,3.6,1,Cloth,105.0,Armrest,Bluetooth
Audi A1,Sedans,18900,VAT deductible,10273,85.0,1,Audi,A1,Grey,Metallic,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,1,Cloth,92.0,Air conditioning,CD player
Audi A1,Compact,18900,VAT deductible,47500,71.0,1,Audi,A1,White,Metallic,Automatic,999.0,1065.0,front,Benzin,7.0,Netherlands,4.4,5.4,3.8,3,Cloth,103.0,Air conditioning,CD player
Audi A1,Sedans,18900,VAT deductible,9466,85.0,0,Audi,A1,Blue,Metallic,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,1,Cloth,92.0,Air conditioning,CD player
Audi A1,Sedans,18900,VAT deductible,18971,85.0,1,Audi,A1,Silver,Metallic,Automatic,1598.0,1200.0,front,Diesel,7.0,Germany,3.7,4.3,3.4,1,Cloth,97.0,Air conditioning,CD player
Audi A1,Compact,18900,VAT deductible,31877,70.0,1,Audi,A1,White,Metallic,Automatic,999.0,1165.0,front,Benzin,7.0,Germany,4.5,5.4,3.8,1,Cloth,103.0,Air conditioning,Bluetooth
Audi A1,Sedans,18900,VAT deductible,9878,85.0,0,Audi,A1,White,Metallic,Automatic,1598.0,1175.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,1,Cloth,92.0,Air conditioning,CD player
Audi A1,Compact,18900,VAT deductible,17535,70.0,1,Audi,A1,Black,Metallic,Automatic,999.0,1180.0,front,Benzin,7.0,Germany,4.6,5.6,4.0,1,Cloth,107.0,Air conditioning,Bluetooth
Audi A1,Compact,18850,VAT deductible,76264,92.0,1,Audi,A1,Brown,Metallic,Automatic,1395.0,1115.0,front,Benzin,7.0,Netherlands,4.9,6.2,4.2,3,Cloth,112.0,Air conditioning,CD player
Audi A1,Compact,18850,VAT deductible,6695,70.0,0,Audi,A1,Silver,Metallic,Automatic,999.0,1180.0,front,Benzin,7.0,Germany,4.6,5.6,4.0,1,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Sedans,18850,VAT deductible,21275,92.0,1,Audi,A1,Brown,Metallic,Automatic,1395.0,1135.0,front,Benzin,7.0,Germany,4.9,6.2,4.2,3,Cloth,112.0,Air conditioning,Bluetooth
Audi A1,Sedans,18850,VAT deductible,12261,66.0,1,Audi,A1,Blue,Metallic,Automatic,1422.0,1665.0,front,Diesel,7.0,Germany,3.9,4.0,3.3,1,Cloth,101.0,Air conditioning,Radio
Audi A1,Sedans,18840,VAT deductible,3620,70.0,1,Audi,A1,Silver,Metallic,Automatic,999.0,1135.0,front,Benzin,7.0,Germany,4.4,5.2,3.9,1,Cloth,104.0,Air conditioning,Bluetooth
Audi A1,Sedans,18800,VAT deductible,8330,85.0,1,Audi,A1,Black,Metallic,Automatic,1598.0,1250.0,front,Diesel,5.0,Germany,3.5,4.3,3.1,1,Cloth,92.0,Air conditioning,Bluetooth
Audi A1,Compact,18750,VAT deductible,20306,70.0,1,Audi,A1,White,Metallic,Automatic,999.0,1165.0,front,Benzin,7.0,Germany,4.4,5.4,3.8,1,Cloth,102.0,Air conditioning,Bluetooth
Audi A1,Compact,18730,VAT deductible,1,85.0,0,Audi,A1,Black,Metallic,Automatic,999.0,1200.0,front,Benzin,7.0,European Union,4.8,5.8,4.2,1,Cloth,108.0,Air conditioning,Bluetooth
